Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	4.656069262	5.171347019	470.9	1080.3	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	1	a
2	Spectrogram 1	1	5.382743021	5.541290023	498.6	1052.6	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	1	b
3	Spectrogram 1	1	5.686624775	5.831959527	470.9	997.2	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	1	b
4	Spectrogram 1	1	6.036749405	6.182084157	443.2	1052.6	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	1	b
5	Spectrogram 1	1	6.360449534	6.545421036	498.6	1024.9	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	1	b
6	Spectrogram 1	1	6.717180288	6.902151791	498.6	1024.9	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	1	b
7	Spectrogram 1	1	7.067304918	7.265488670	498.6	997.2	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	1	b
8	Spectrogram 1	1	7.430641797	7.622219425	554.0	997.2	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	1	b
9	Spectrogram 1	1	7.800584802	7.978950179	526.3	1080.3	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	1	b
10	Spectrogram 1	1	8.170527807	8.335680934	526.3	1024.9	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	1	b
11	Spectrogram 1	1	8.540470811	8.732048439	526.3	997.2	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	1	b
12	Spectrogram 1	1	8.910413816	9.101991443	498.6	1024.9	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	1	b
13	Spectrogram 1	1	9.280356821	9.478540573	526.3	1052.6	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	1	b
14	Spectrogram 1	1	15.214518754	15.743008761	470.9	1080.3	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	2	a
15	Spectrogram 1	1	15.941192513	16.066708890	304.7	914.1	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	2	b
16	Spectrogram 1	1	16.212043641	16.363984518	443.2	1024.9	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	2	b
17	Spectrogram 1	1	16.535743771	16.667866272	415.5	1080.3	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	2	b
18	Spectrogram 1	1	16.866050025	17.044415402	415.5	1024.9	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	2	b
19	Spectrogram 1	1	17.229386904	17.407752282	470.9	1052.6	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	2	b
20	Spectrogram 1	1	17.572905409	17.744664661	526.3	1024.9	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	2	b
21	Spectrogram 1	1	17.936242288	18.114607665	470.9	1024.9	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	2	b
22	Spectrogram 1	1	18.279760793	18.471338420	443.2	1080.3	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	2	b
23	Spectrogram 1	1	18.649703797	18.841281425	470.9	1052.6	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	2	b
24	Spectrogram 1	1	19.019646802	19.198012179	554.0	1052.6	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	2	b
25	Spectrogram 1	1	19.369771431	19.554742934	470.9	1024.9	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	2	b
26	Spectrogram 1	1	19.739714436	19.911473688	415.5	997.2	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	2	b
27	Spectrogram 1	1	20.116263566	20.294628943	498.6	1080.3	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	2	b
28	Spectrogram 1	1	20.486206570	20.657965822	498.6	1024.9	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	2	b
29	Spectrogram 1	1	20.849543450	21.021302702	470.9	997.2	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	2	b
30	Spectrogram 1	1	21.219486455	21.397851832	526.3	1052.6	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	2	b
31	Spectrogram 1	1	21.609247834	21.774400962	554.0	1108.0	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	2	b
32	Spectrogram 1	1	30.855817419	31.384307425	304.7	997.2	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	3	a
33	Spectrogram 1	1	31.575885053	31.708007555	304.7	997.2	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	3	b
34	Spectrogram 1	1	31.873160682	32.025101559	360.1	969.5	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	3	b
35	Spectrogram 1	1	32.190254686	32.348801688	443.2	997.2	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	3	b
36	Spectrogram 1	1	32.520560940	32.698926317	443.2	997.2	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	3	b
37	Spectrogram 1	1	32.870685569	33.029232571	443.2	1080.3	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	3	b
38	Spectrogram 1	1	33.227416324	33.399175576	498.6	1052.6	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	3	b
39	Spectrogram 1	1	33.590753203	33.742694080	554.0	1108.0	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	3	b
40	Spectrogram 1	1	33.934271708	34.106030960	498.6	1080.3	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	3	b
41	Spectrogram 1	1	34.284396337	34.469367839	498.6	1080.3	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	3	b
42	Spectrogram 1	1	34.641127091	34.832704719	526.3	1024.9	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	3	b
43	Spectrogram 1	1	35.011070096	35.196041598	443.2	1108.0	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	3	b
44	Spectrogram 1	1	35.381013101	35.559378478	443.2	1024.9	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	3	b
45	Spectrogram 1	1	35.750956105	35.942533733	470.9	1024.9	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	3	b
46	Spectrogram 1	1	36.153929736	36.325688988	498.6	1024.9	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	3	b
47	Spectrogram 1	1	36.530478865	36.682419742	526.3	1108.0	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	3	b
48	Spectrogram 1	1	36.913634120	37.085393372	554.0	1024.9	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	3	b
49	Spectrogram 1	1	37.257152624	37.455336377	470.9	1108.0	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	3	b
50	Spectrogram 1	1	37.673338505	37.838491632	498.6	1024.9	Tauraco_leucolophus-ML8570.wav	E:\Andean\Musophagidae\Tauraco_leucolophus-ML8570.wav	3	b
