Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	5.658364946	5.840033386	360.1	969.5	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	1	a
2	Spectrogram 1	1	6.160430452	6.285946829	360.1	914.1	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	1	b
3	Spectrogram 1	1	6.596434708	6.645980646	332.4	941.8	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	1	c
4	Spectrogram 1	1	6.830952148	6.873891961	387.8	914.1	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	1	c
5	Spectrogram 1	1	7.006014463	7.075378776	415.5	747.9	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	1	c
6	Spectrogram 1	1	7.342926842	7.458534031	304.7	886.4	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	1	d
7	Spectrogram 1	1	7.676536159	7.798749473	304.7	886.4	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	1	d
8	Spectrogram 1	1	8.023357726	8.129055727	304.7	886.4	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	1	d
9	Spectrogram 1	1	8.337148667	8.462665044	360.1	858.7	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	1	d
10	Spectrogram 1	1	8.683970234	8.812789673	360.1	914.1	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	1	d
11	Spectrogram 1	1	9.027488738	9.156308178	387.8	914.1	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	1	d
12	Spectrogram 1	1	14.525332581	14.697091833	221.6	997.2	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	2	a
13	Spectrogram 1	1	15.050519525	15.166126714	304.7	969.5	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	2	b
14	Spectrogram 1	1	15.579009532	15.645070782	332.4	886.4	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	2	c
15	Spectrogram 1	1	15.711132033	15.757374909	304.7	692.5	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	2	c
16	Spectrogram 1	1	15.823436160	15.866375973	332.4	775.6	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	2	c
17	Spectrogram 1	1	15.962164786	16.011710725	332.4	664.8	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	2	c
18	Spectrogram 1	1	16.233015448	16.325501199	332.4	831.0	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	2	d
19	Spectrogram 1	1	16.579837015	16.698747266	304.7	914.1	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	2	d
20	Spectrogram 1	1	16.913446332	17.038962708	249.3	914.1	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	2	d
21	Spectrogram 1	1	17.233843398	17.362662837	332.4	886.4	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	2	d
22	Spectrogram 1	1	17.580664965	17.699575217	332.4	941.8	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	2	d
23	Spectrogram 1	1	17.897758969	18.039790658	387.8	914.1	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	2	d
24	Spectrogram 1	1	18.264398911	18.386612225	443.2	941.8	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	2	d
25	Spectrogram 1	1	18.614523541	18.743342980	443.2	941.8	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	2	d
26	Spectrogram 1	1	18.852344044	19.100073734	554.0	914.1	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	2	e
27	Spectrogram 1	1	28.627875011	28.789725075	332.4	997.2	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	3	a
28	Spectrogram 1	1	29.146455830	29.324821207	360.1	997.2	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	3	a
29	Spectrogram 1	1	29.651824398	29.714582587	360.1	775.6	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	3	c
30	Spectrogram 1	1	29.770734650	29.816977526	332.4	886.4	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	3	c
31	Spectrogram 1	1	29.896251027	29.949100027	470.9	886.4	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	3	c
32	Spectrogram 1	1	30.044888841	30.097737842	332.4	803.3	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	3	c
33	Spectrogram 1	1	30.299224657	30.398316533	332.4	775.6	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	3	d
34	Spectrogram 1	1	30.642742622	30.755046748	249.3	886.4	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	3	d
35	Spectrogram 1	1	30.982958064	31.108474440	304.7	858.7	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	3	d
36	Spectrogram 1	1	31.319870443	31.435477632	332.4	914.1	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	3	d
37	Spectrogram 1	1	31.656782822	31.775693074	415.5	886.4	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	3	d
38	Spectrogram 1	1	31.987089077	32.122514641	332.4	858.7	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	3	d
39	Spectrogram 1	1	32.343819831	32.462730082	332.4	886.4	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	3	d
40	Spectrogram 1	1	32.674126085	32.806248587	360.1	886.4	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	3	d
41	Spectrogram 1	1	33.030856840	33.159676279	360.1	886.4	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	3	d
42	Spectrogram 1	1	33.384284532	33.516407033	415.5	914.1	Tauraco_leucotis-ML100334.wav	E:\Andean\Musophagidae\Tauraco_leucotis-ML100334.wav	3	d
