Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	1.793888180	2.018107501	277.0	651.0	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	1	a
2	Spectrogram 1	1	2.218970642	2.424505019	374.0	817.2	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	1	a
3	Spectrogram 1	1	2.709450405	2.975710849	415.5	831.0	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	1	a
4	Spectrogram 1	1	3.153217811	3.372765895	304.7	886.4	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	1	a
5	Spectrogram 1	1	3.494218027	3.723108584	304.7	983.4	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	1	b
6	Spectrogram 1	1	3.853903187	4.082793744	304.7	1038.8	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	1	b
7	Spectrogram 1	1	4.213588347	4.433136432	290.9	1066.5	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	1	b
8	Spectrogram 1	1	4.554588564	4.783479120	318.6	1108.0	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	1	b
9	Spectrogram 1	1	4.895588780	5.119808101	332.4	1149.6	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	1	b
10	Spectrogram 1	1	5.236588997	5.456137082	290.9	1121.9	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	1	b
11	Spectrogram 1	1	5.582260449	5.806479770	290.9	1232.7	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	1	b
12	Spectrogram 1	1	5.937274373	6.152151222	318.6	1177.3	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	1	b
13	Spectrogram 1	1	6.282945826	6.488480203	304.7	1135.7	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	1	b
14	Spectrogram 1	1	6.623946042	6.834151655	290.9	1163.4	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	1	b
15	Spectrogram 1	1	6.978959967	7.184494344	304.7	1163.4	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	1	b
16	Spectrogram 1	1	18.225719874	18.431254251	304.7	720.2	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	2	a
17	Spectrogram 1	1	18.711528402	18.931076487	332.4	817.2	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	2	a
18	Spectrogram 1	1	19.127268392	19.337474005	318.6	831.0	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	2	a
19	Spectrogram 1	1	19.496296024	19.697159165	304.7	955.7	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	2	b
20	Spectrogram 1	1	19.855981184	20.066186797	346.3	1038.8	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	2	b
21	Spectrogram 1	1	20.201652636	20.407187013	277.0	1080.3	Tauraco_schuettii-ML114189741.wav	E:\Andean\Musophagidae\Tauraco_schuettii-ML114189741.wav	2	b
