Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	20.687181999	20.722058606	2826.3	3363.6	Telophorus_olivaceus-ML122478001.wav	C:\Users\User\Downloads\Malaconotidae\Malaconotidae\Telophorus_olivaceus-ML122478001.wav	1	a
2	Spectrogram 1	1	20.797318652	20.837702092	2919.8	3386.9	Telophorus_olivaceus-ML122478001.wav	C:\Users\User\Downloads\Malaconotidae\Malaconotidae\Telophorus_olivaceus-ML122478001.wav	1	b
3	Spectrogram 1	1	20.914797750	20.951509968	2756.2	3316.8	Telophorus_olivaceus-ML122478001.wav	C:\Users\User\Downloads\Malaconotidae\Malaconotidae\Telophorus_olivaceus-ML122478001.wav	1	c
4	Spectrogram 1	1	21.034112458	21.078167119	2709.5	3246.8	Telophorus_olivaceus-ML122478001.wav	C:\Users\User\Downloads\Malaconotidae\Malaconotidae\Telophorus_olivaceus-ML122478001.wav	1	d
5	Spectrogram 1	1	21.151591555	21.201153049	2616.1	3130.0	Telophorus_olivaceus-ML122478001.wav	C:\Users\User\Downloads\Malaconotidae\Malaconotidae\Telophorus_olivaceus-ML122478001.wav	1	e
6	Spectrogram 1	1	21.269070652	21.331481423	2569.4	3083.3	Telophorus_olivaceus-ML122478001.wav	C:\Users\User\Downloads\Malaconotidae\Malaconotidae\Telophorus_olivaceus-ML122478001.wav	1	f
7	Spectrogram 1	1	21.403070248	21.461809796	2382.5	2989.8	Telophorus_olivaceus-ML122478001.wav	C:\Users\User\Downloads\Malaconotidae\Malaconotidae\Telophorus_olivaceus-ML122478001.wav	1	g
8	Spectrogram 1	1	21.536562845	21.595302393	2343.6	2880.8	Telophorus_olivaceus-ML122478001.wav	C:\Users\User\Downloads\Malaconotidae\Malaconotidae\Telophorus_olivaceus-ML122478001.wav	1	h
9	Spectrogram 1	1	21.663219996	21.738480043	2226.8	2694.0	Telophorus_olivaceus-ML122478001.wav	C:\Users\User\Downloads\Malaconotidae\Malaconotidae\Telophorus_olivaceus-ML122478001.wav	1	i
10	Spectrogram 1	1	21.800890813	21.876150860	2156.7	2717.3	Telophorus_olivaceus-ML122478001.wav	C:\Users\User\Downloads\Malaconotidae\Malaconotidae\Telophorus_olivaceus-ML122478001.wav	1	i
