Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	70.324861799	70.395401826	470.9	1772.9	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	1	a
2	Spectrogram 1	1	70.568237552	70.633747860	581.7	2049.9	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	1	b
3	Spectrogram 1	1	70.759758222	70.829826760	609.4	2077.6	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	1	b
4	Spectrogram 1	1	70.946607656	71.012004957	609.4	2022.2	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	1	b
5	Spectrogram 1	1	71.105429674	71.166155740	581.7	2077.6	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	1	b
6	Spectrogram 1	1	71.251613044	71.314013189	637.1	2188.4	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	1	c
7	Spectrogram 1	1	71.388539673	71.431748605	609.4	2216.1	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	1	c
8	Spectrogram 1	1	71.506488378	71.549697310	609.4	2216.1	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	1	c
9	Spectrogram 1	1	71.615094611	71.653632307	664.8	2160.7	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	1	c
10	Spectrogram 1	1	71.706183710	71.750560451	664.8	2243.8	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	1	c
11	Spectrogram 1	1	71.790426468	71.826109917	443.2	2354.6	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	1	d
12	Spectrogram 1	1	71.853467227	71.882013986	415.5	2188.4	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	1	e
13	Spectrogram 1	1	71.902234607	71.926023573	692.5	1717.5	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	1	f
14	Spectrogram 1	1	71.960517574	71.986685437	609.4	2216.1	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	1	g
15	Spectrogram 1	1	76.387123041	76.461441948	470.9	1772.9	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	2	a
16	Spectrogram 1	1	76.631516541	76.694274729	581.7	2105.3	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	2	b
17	Spectrogram 1	1	76.826397231	76.885852356	581.7	2049.9	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	2	b
18	Spectrogram 1	1	77.004762608	77.057611608	581.7	2022.2	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	2	b
19	Spectrogram 1	1	77.165926958	77.217310553	609.4	2188.4	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	2	c
20	Spectrogram 1	1	77.313070887	77.363286673	637.1	2216.1	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	2	c
21	Spectrogram 1	1	77.452040154	77.501088130	609.4	2216.1	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	2	c
22	Spectrogram 1	1	77.578163521	77.620204644	692.5	2216.1	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	2	c
23	Spectrogram 1	1	77.693152783	77.728836232	664.8	2022.2	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	2	g
24	Spectrogram 1	1	77.796634785	77.828749889	637.1	2105.3	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	2	h
25	Spectrogram 1	1	77.879896165	77.913200718	747.9	2105.3	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	2	i
26	Spectrogram 1	1	77.952452511	77.977430926	637.1	2216.1	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	2	j
27	Spectrogram 1	1	78.009546030	78.034524444	664.8	1966.8	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	2	k
28	Spectrogram 1	1	78.063071203	78.086860169	637.1	1662.1	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	2	f
29	Spectrogram 1	1	78.124922514	78.151090377	526.3	1440.5	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	2	l
30	Spectrogram 1	1	84.155612636	84.229931543	498.6	1800.6	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	3	a
31	Spectrogram 1	1	84.388029175	84.447484301	554.0	2105.3	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	3	b
32	Spectrogram 1	1	84.589515990	84.648971116	581.7	2049.9	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	3	b
33	Spectrogram 1	1	84.769532898	84.828988024	526.3	2049.9	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	3	b
34	Spectrogram 1	1	84.936336894	84.992391724	581.7	2160.7	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	3	c
35	Spectrogram 1	1	85.089319868	85.136032227	581.7	2216.1	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	3	c
36	Spectrogram 1	1	85.228289135	85.276169302	609.4	2188.4	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	3	c
37	Spectrogram 1	1	85.352076884	85.396453625	609.4	2243.8	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	3	c
38	Spectrogram 1	1	85.459515309	85.503892049	609.4	2188.4	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	3	c
39	Spectrogram 1	1	85.558497662	85.596003291	554.0	2105.3	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	3	m
40	Spectrogram 1	1	85.626281701	85.658242246	554.0	2105.3	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	3	m
41	Spectrogram 1	1	85.686838522	85.717116933	554.0	1994.5	Thamnophilus_sticturus-ML80447.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Thamnophilus_sticturus-ML80447.wav	3	n
