Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	27.478031286	27.597539782	2049.9	3545.7	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	1	a
2	Spectrogram 1	1	27.648441549	27.752458203	2049.9	2936.3	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	1	b
3	Spectrogram 1	1	27.794507489	27.922868466	2049.9	3684.2	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	1	a
4	Spectrogram 1	1	27.958278391	28.068934406	2133.0	2991.7	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	1	b
5	Spectrogram 1	1	28.108770572	28.234918429	2105.3	3795.0	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	1	a
6	Spectrogram 1	1	28.272541474	28.380984369	2160.7	2991.7	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	1	b
7	Spectrogram 1	1	28.427459895	28.558033993	2133.0	3795.0	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	1	a
8	Spectrogram 1	1	28.597870158	28.704099932	2133.0	3047.1	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	1	b
9	Spectrogram 1	1	28.743936098	28.865657714	2133.0	3795.0	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	1	a
10	Spectrogram 1	1	28.893922566	29.017857303	2160.7	2964.0	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	1	b
11	Spectrogram 1	1	29.060412301	29.189879838	2133.0	3878.1	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	1	a
12	Spectrogram 1	1	29.228103732	29.336546626	2160.7	3019.4	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	1	b
13	Spectrogram 1	1	29.374675383	29.505249481	2216.1	3739.6	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	1	a
14	Spectrogram 1	1	35.007626463	35.140413681	1966.8	3490.3	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	2	a
15	Spectrogram 1	1	35.166971124	35.273200899	1966.8	2880.9	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	2	b
16	Spectrogram 1	1	35.308610824	35.436971801	2022.2	3684.2	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	2	a
17	Spectrogram 1	1	35.479021087	35.583037741	2049.9	2880.9	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	2	b
18	Spectrogram 1	1	35.616234545	35.753448004	2077.6	3822.7	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	2	a
19	Spectrogram 1	1	35.791071049	35.890661463	2133.0	2991.7	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	2	b
20	Spectrogram 1	1	35.943776350	36.069924207	2133.0	3850.4	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	2	a
21	Spectrogram 1	1	36.108990716	36.210794250	2105.3	2964.0	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	2	b
22	Spectrogram 1	1	36.264678793	36.395252891	2049.9	3739.6	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	2	a
23	Spectrogram 1	1	36.424023455	36.534679470	2105.3	2908.6	Tringa_glareola-ML207306.wav	D:\Andean\Scolopacidae\Tringa_glareola-ML207306.wav	2	b
