Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	76.278043444	76.420171118	378.8	1188.7	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
2	Spectrogram 1	1	76.655177996	76.814000015	365.8	1149.5	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
3	Spectrogram 1	1	77.014863156	77.145657760	391.9	1149.5	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
4	Spectrogram 1	1	77.369877081	77.524027863	391.9	1149.5	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
5	Spectrogram 1	1	77.734233476	77.879041788	391.9	1149.5	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
6	Spectrogram 1	1	78.089247401	78.224713240	365.8	1149.5	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
7	Spectrogram 1	1	78.467617504	78.621768287	365.8	1201.8	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
8	Spectrogram 1	1	78.827302664	78.972110975	365.8	1149.5	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
9	Spectrogram 1	1	79.191659060	79.341138607	365.8	1175.7	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
10	Spectrogram 1	1	79.556015455	79.691481295	391.9	1149.5	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
11	Spectrogram 1	1	79.913083909	80.071630911	365.8	1175.7	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
12	Spectrogram 1	1	80.249996288	80.408543290	365.8	1149.5	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
13	Spectrogram 1	1	80.606727043	80.765274045	391.9	1149.5	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
14	Spectrogram 1	1	80.950245547	81.122004799	365.8	1149.5	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
15	Spectrogram 1	1	81.306976302	81.485341679	391.9	1149.5	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
16	Spectrogram 1	1	81.683525431	81.848678558	391.9	1149.5	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
17	Spectrogram 1	1	82.060736921	82.206071673	365.8	1149.5	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
18	Spectrogram 1	1	82.417467675	82.562802427	365.8	1149.5	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
19	Spectrogram 1	1	82.767592305	82.919533182	365.8	1175.7	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
20	Spectrogram 1	1	83.117716934	83.276263936	391.9	1175.7	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
21	Spectrogram 1	1	83.540508940	83.685843691	339.6	1149.5	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
22	Spectrogram 1	1	83.923664194	84.055786696	365.8	1149.5	Trogon_massena-ML57350.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Trogon_massena-ML57350.wav	1	a
