Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	51.500816609	51.745243237	2769.3	3474.7	Turdus_jamaicensis-ML164939.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_jamaicensis-ML164939.wav	1	a
2	Spectrogram 1	1	51.903354892	51.987437137	3500.8	3788.2	Turdus_jamaicensis-ML164939.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_jamaicensis-ML164939.wav	1	b
3	Spectrogram 1	1	52.571341618	52.655423863	3396.3	4023.3	Turdus_jamaicensis-ML164939.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_jamaicensis-ML164939.wav	1	c
4	Spectrogram 1	1	52.653088245	52.725492401	2299.1	3213.4	Turdus_jamaicensis-ML164939.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_jamaicensis-ML164939.wav	1	d
5	Spectrogram 1	1	52.996424080	53.015109023	3239.6	4049.5	Turdus_jamaicensis-ML164939.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_jamaicensis-ML164939.wav	1	e
6	Spectrogram 1	1	53.028947732	53.085002562	3422.5	4049.5	Turdus_jamaicensis-ML164939.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_jamaicensis-ML164939.wav	1	f
7	Spectrogram 1	1	53.094345033	53.199447840	2325.2	3187.3	Turdus_jamaicensis-ML164939.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_jamaicensis-ML164939.wav	1	g
8	Spectrogram 1	1	53.353598623	53.383961656	3108.9	3971.1	Turdus_jamaicensis-ML164939.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_jamaicensis-ML164939.wav	1	h
9	Spectrogram 1	1	53.390968509	53.465708283	3448.6	4049.5	Turdus_jamaicensis-ML164939.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_jamaicensis-ML164939.wav	1	f
10	Spectrogram 1	1	53.463372665	53.538112438	2351.3	3161.2	Turdus_jamaicensis-ML164939.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_jamaicensis-ML164939.wav	1	d
11	Spectrogram 1	1	53.738975580	53.771674231	3161.2	4075.6	Turdus_jamaicensis-ML164939.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_jamaicensis-ML164939.wav	1	h
12	Spectrogram 1	1	53.778681084	53.839407150	3474.7	4127.8	Turdus_jamaicensis-ML164939.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_jamaicensis-ML164939.wav	1	f
13	Spectrogram 1	1	53.839407150	53.939838721	2037.8	3135.1	Turdus_jamaicensis-ML164939.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_jamaicensis-ML164939.wav	1	i
14	Spectrogram 1	1	54.227119725	54.248140287	3213.4	3945.0	Turdus_jamaicensis-ML164939.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_jamaicensis-ML164939.wav	1	j
15	Spectrogram 1	1	54.257482758	54.320544442	3344.1	4101.7	Turdus_jamaicensis-ML164939.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_jamaicensis-ML164939.wav	1	f
16	Spectrogram 1	1	54.327551296	54.395284216	2063.9	3135.1	Turdus_jamaicensis-ML164939.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_jamaicensis-ML164939.wav	1	k
17	Spectrogram 1	1	54.577462414	54.607825447	3239.6	4023.3	Turdus_jamaicensis-ML164939.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_jamaicensis-ML164939.wav	1	e
