Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	134.960903324	135.154132483	1410.8	2690.9	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	1	a
2	Spectrogram 1	1	135.162390140	135.248269766	1436.9	2037.8	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	1	b
3	Spectrogram 1	1	135.466271371	135.669409717	1436.9	2717.1	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	1	a
4	Spectrogram 1	1	135.680970436	135.773456188	1384.7	1985.5	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	1	b
5	Spectrogram 1	1	136.074034879	136.417553383	1515.3	3161.2	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	1	c
6	Spectrogram 1	1	136.700439495	136.723795674	1358.5	4650.4	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	1	d
7	Spectrogram 1	1	136.733138146	136.758829943	1358.5	4023.3	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	1	e
8	Spectrogram 1	1	136.767004606	136.791528594	1332.4	4336.8	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	1	f
9	Spectrogram 1	1	136.802038875	136.826562863	1280.2	4049.5	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	1	e
10	Spectrogram 1	1	136.834737526	136.866268368	1254.0	3788.2	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	1	g
11	Spectrogram 1	1	136.874443030	136.900134827	1384.7	3657.6	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	1	h
12	Spectrogram 1	1	136.907141681	137.019251341	1933.3	2560.3	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	1	i
13	Spectrogram 1	1	137.368313717	137.417361694	705.4	5538.6	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	1	j
14	Spectrogram 1	1	139.938113733	139.987659671	1593.7	2325.2	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	2	k
15	Spectrogram 1	1	139.997568859	140.038857141	1593.7	2351.3	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	2	k
16	Spectrogram 1	1	140.049264210	140.282826002	1619.8	2769.3	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	2	l
17	Spectrogram 1	1	140.908768996	141.185539720	1410.8	2586.4	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	2	m
18	Spectrogram 1	1	141.405087804	141.772947627	1201.8	2325.2	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	2	n
19	Spectrogram 1	1	141.964468297	142.265763008	1280.2	2795.4	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	2	o
20	Spectrogram 1	1	142.482497685	142.621466951	3683.7	4154.0	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	2	p
21	Spectrogram 1	1	142.617963524	142.651829984	2690.9	8255.7	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	2	q
22	Spectrogram 1	1	142.658836838	142.697374534	2717.1	4258.5	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	2	r
23	Spectrogram 1	1	142.710220432	142.872545878	3265.7	3997.2	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	2	s
24	Spectrogram 1	1	142.932104135	142.965970595	3448.6	8412.4	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	2	t
25	Spectrogram 1	1	142.972977449	143.008011717	3448.6	4389.1	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	2	u
26	Spectrogram 1	1	143.023193234	143.170337163	3135.1	4023.3	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	2	v
27	Spectrogram 1	1	145.253409075	145.337491320	1750.4	3370.2	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	3	w
28	Spectrogram 1	1	145.340994747	145.545361315	1698.2	2847.7	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	3	x
30	Spectrogram 1	1	145.783592311	146.185318594	1332.4	3056.7	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	3	y
31	Spectrogram 1	1	146.367496792	146.729517570	1280.2	2325.2	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	3	z
32	Spectrogram 1	1	147.077520155	147.110218806	1332.4	1881.0	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	3	aa
33	Spectrogram 1	1	147.118393469	147.172112681	1410.8	2664.8	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	3	ab
34	Spectrogram 1	1	147.179119535	147.361297732	1306.3	1828.8	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	3	ac
35	Spectrogram 1	1	147.625222558	147.966222774	1672.0	3030.6	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	3	ad
36	Spectrogram 1	1	148.186938668	148.221972937	1201.8	2063.9	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	3	ae
37	Spectrogram 1	1	148.233649141	148.505748629	1175.7	1724.3	Turdus_nudigenis-ML66270.wav	C:\Users\pfmar\Downloads\Andean\Turdidae\Turdus_nudigenis-ML66270.wav	3	af
